Timestamp,Source IP,Destination IP,Source Port,Destination Port,Protocol,TTL,Length,Flags
2025-04-21 19:33:51,17.171.98.38,192.168.1.6,443,61428,6,49,1282,DF
2025-04-21 19:33:51,17.171.98.38,192.168.1.6,443,61428,6,49,1506,DF
2025-04-21 19:33:51,17.171.98.38,192.168.1.6,443,61428,6,49,226,DF
2025-04-21 19:33:51,192.168.1.6,17.171.98.38,61428,443,6,64,66,DF
2025-04-21 19:33:52,17.171.98.38,192.168.1.6,443,61428,6,49,1346,DF
2025-04-21 19:33:52,17.171.98.38,192.168.1.6,443,61428,6,49,1506,DF
2025-04-21 19:33:52,17.171.98.38,192.168.1.6,443,61428,6,49,162,DF
2025-04-21 19:33:52,192.168.1.6,17.171.98.38,61428,443,6,64,66,DF
2025-04-21 19:33:52,17.171.98.38,192.168.1.6,443,61428,6,49,1410,DF
2025-04-21 19:33:52,17.171.98.38,192.168.1.6,443,61428,6,49,1506,DF
2025-04-21 19:33:52,17.171.98.38,192.168.1.6,443,61428,6,49,98,DF
2025-04-21 19:33:52,192.168.1.6,17.171.98.38,61428,443,6,64,66,DF
2025-04-21 19:33:52,17.171.98.38,192.168.1.6,443,61428,6,49,1474,DF
2025-04-21 19:33:52,192.168.1.6,17.171.98.38,61428,443,6,64,66,DF
2025-04-21 19:33:53,17.171.98.38,192.168.1.6,443,61428,6,49,1506,DF
2025-04-21 19:33:53,17.171.98.38,192.168.1.6,443,61428,6,49,1442,DF
2025-04-21 19:33:53,192.168.1.6,17.171.98.38,61428,443,6,64,66,DF
2025-04-21 19:33:53,192.168.1.6,163.70.146.60,61421,443,6,64,148,DF
2025-04-21 19:33:53,192.168.1.6,163.70.146.60,61421,443,6,64,133,DF
2025-04-21 19:33:53,163.70.146.60,192.168.1.6,443,61421,6,57,66,DF
2025-04-21 19:33:53,163.70.146.60,192.168.1.6,443,61421,6,57,66,DF
2025-04-21 19:33:53,17.171.98.38,192.168.1.6,443,61428,6,49,130,DF
2025-04-21 19:33:53,17.171.98.38,192.168.1.6,443,61428,6,49,1506,DF
2025-04-21 19:33:53,17.171.98.38,192.168.1.6,443,61428,6,49,1378,DF
2025-04-21 19:33:53,192.168.1.6,17.171.98.38,61428,443,6,64,66,DF
2025-04-21 19:33:54,17.171.98.38,192.168.1.6,443,61428,6,49,194,DF
2025-04-21 19:33:54,17.171.98.38,192.168.1.6,443,61428,6,49,1506,DF
2025-04-21 19:33:54,17.171.98.38,192.168.1.6,443,61428,6,49,1506,DF
2025-04-21 19:33:54,192.168.1.6,17.171.98.38,61428,443,6,64,66,DF
2025-04-21 19:33:54,17.171.98.38,192.168.1.6,443,61428,6,49,1506,DF
2025-04-21 19:33:54,17.171.98.38,192.168.1.6,443,61428,6,49,1506,DF
2025-04-21 19:33:54,17.171.98.38,192.168.1.6,443,61428,6,49,1506,DF
2025-04-21 19:33:54,17.171.98.38,192.168.1.6,443,61428,6,49,1378,DF
2025-04-21 19:33:54,192.168.1.6,17.171.98.38,61428,443,6,64,66,DF
2025-04-21 19:33:54,17.171.98.38,192.168.1.6,443,61428,6,49,194,DF
2025-04-21 19:33:54,17.171.98.38,192.168.1.6,443,61428,6,49,1506,DF
2025-04-21 19:33:54,17.171.98.38,192.168.1.6,443,61428,6,49,1506,DF
2025-04-21 19:33:54,17.171.98.38,192.168.1.6,443,61428,6,49,1506,DF
2025-04-21 19:33:54,17.171.98.38,192.168.1.6,443,61428,6,49,1506,DF
2025-04-21 19:33:54,192.168.1.6,17.171.98.38,61428,443,6,64,66,DF
2025-04-21 19:33:55,17.171.98.38,192.168.1.6,443,61428,6,49,1506,DF
2025-04-21 19:33:55,17.171.98.38,192.168.1.6,443,61428,6,49,1506,DF
2025-04-21 19:33:55,17.171.98.38,192.168.1.6,443,61428,6,49,1506,DF
2025-04-21 19:33:55,192.168.1.6,17.171.98.38,61428,443,6,64,66,DF
2025-04-21 19:33:55,17.171.98.38,192.168.1.6,443,61428,6,49,1506,DF
2025-04-21 19:33:55,192.168.1.6,17.171.98.38,61428,443,6,64,66,DF
2025-04-21 19:33:55,17.171.98.38,192.168.1.6,443,61428,6,49,1506,DF
2025-04-21 19:33:55,17.171.98.38,192.168.1.6,443,61428,6,49,1506,DF
2025-04-21 19:33:55,17.171.98.38,192.168.1.6,443,61428,6,49,1506,DF
2025-04-21 19:33:55,17.171.98.38,192.168.1.6,443,61428,6,49,1506,DF
2025-04-21 19:33:55,17.171.98.38,192.168.1.6,443,61428,6,49,1506,DF
